straatname,beroep,beroepcategorie,sekseofgeslacht,geboortedatum,eeuw,land van nationaliteit,geboorteplaats,afbeelding,aantal,wiki
Desire-Joseph Mercier,filosoof,filosoof,mannelijk,1851-11-21T01:00:00Z,negentiendeeeuw,Belgi�,Eigenbrakel,Cardinal Mercier.png,15,https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9-Joseph_Mercier
Karel Lodewijk Ledeganck,dichter,schrijver,mannelijk,1805-01-01T01:00:00Z,negentiendeeeuw,Belgi�,Eeklo,Karel Lodewijk Ledeganck.png,8,https://en.wikipedia.org/wiki/Karel_Lodewijk_Ledeganck
Karel van de Woestijne,schrijver,schrijver,mannelijk,1878-03-10T01:00:00Z,negentiendeeeuw,Belgi�,Gent,Karel van de Woestijne.png,17,https://en.wikipedia.org/wiki/Karel_van_de_Woestijne
Karel van Mander,kunsthistoricus,wetenschapper,mannelijk,1548-04-21T01:00:00Z,zestiendeeeuw,Zuidelijke Nederlanden,Meulebeke,Karel van Mander.png,5,https://en.wikipedia.org/wiki/Karel_van_Mander
Keizer Karel V,monarch,monarchie,mannelijk,1500-02-15T01:00:00Z,zestiendeeeuw,Heilige Roomse Rijk,Gent,Keizer Karel V.png,13,https://en.wikipedia.org/w/index.php?search=Keizer+Karel+V&title=Special:Search&go=Go&searchToken=8gkllx8awhaor9lkjbn21ysqh
Albert I van Belgie,monarch,monarchie,mannelijk,1875-04-08T01:00:00Z,negentiendeeeuw,Belgi�,Brussel,Albert I van Belgie.png,79,https://nl.wikipedia.org/wiki/Albert_I_van_Belgi%C3%AB
Boudewijn I van Belgie,monarch,monarchie,mannelijk,1930-09-07T01:00:00Z,twintigsteeeuw,Belgi�,Laken,Boudewijn I van Belgie.png,49,https://nl.wikipedia.org/wiki/Boudewijn_van_Belgi%C3%AB
Leopold I,politicus,politicus,mannelijk,1790-12-16T01:00:00Z,achttiendeeeuw,Hertogdom Saksen-Coburg-Saalfeld,Ehrenburg Palace,Leopold I.png,9,https://nl.wikipedia.org/wiki/Leopold_I
Leopold III van Belgie,monarch,monarchie,mannelijk,1901-11-03T00:09:21Z,twintigsteeeuw,Belgi�,Brussel,Leopold III van Belgie.png,49,https://nl.wikipedia.org/wiki/Leopold_III_van_Belgi%C3%AB
Astrid van Zweden,Koningin-gemalin,monarchie,vrouwelijk,1905-11-17T00:09:21Z,twintigsteeeuw,Zweden,Stockholm,Astrid van Zweden.png,68,https://nl.wikipedia.org/wiki/Astrid_van_Zweden
"Elisabeth of Bavaria, Queen of Belgium",soevereine,monarchie,vrouwelijk,1876-07-25T01:00:00Z,negentiendeeeuw,Belgi�,Possenhofen,"Elisabeth of Bavaria, Queen of Belgium.png",25,https://en.wikipedia.org/wiki/Empress_Elisabeth_of_Austria
Fabiola de Mora y Aragon,monarch,monarchie,vrouwelijk,1928-06-11T01:00:00Z,twintigsteeeuw,Spanje,Madrid,Fabiola de Mora y Aragon.png,25,https://en.wikipedia.org/wiki/Queen_Fabiola_of_Belgium
Konrad Adenauer,advocaat,jurist,mannelijk,1876-01-05T01:00:00Z,negentiendeeeuw,Duitsland,Keulen,Konrad Adenauer.png,4,https://en.wikipedia.org/wiki/Konrad_Adenauer
Leo Baekeland,scheikundige,wetenschapper,mannelijk,1863-11-14T01:00:00Z,negentiendeeeuw,Verenigde Staten van Amerika,Gent,Leo Baekeland.png,7,https://en.wikipedia.org/wiki/Leo_Baekeland
Lieven Bauwens,politicus,politicus,mannelijk,1942-03-07T02:00:00Z,twintigsteeeuw,Belgi�,,Lieven Bauwens.png,6,https://en.wikipedia.org/wiki/Lieven_Bauwens
Lieven Gevaert,politicus,politicus,mannelijk,1868-05-28T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Lieven Gevaert.png,5,https://en.wikipedia.org/wiki/Lieven_Gevaert
Lily Boeykens,feminist,feminist,vrouwelijk,1930-03-21T00:00:00Z,twintigsteeeuw,Belgi�,,Lily Boeykens.png,3,https://nl.wikipedia.org/wiki/Lily_Boeykens
Lode Zielens,schrijver,schrijver,mannelijk,1901-06-13T00:09:21Z,twintigsteeeuw,Belgi�,Antwerpen,Lode Zielens.png,6,https://nl.wikipedia.org/wiki/Lode_Zielens
Lodewijk de Raet,econoom,econoom,mannelijk,1870-01-01T01:00:00Z,negentiendeeeuw,Belgi�,,Lodewijk de Raet.png,10,https://nl.wikipedia.org/wiki/Lodewijk_de_Raet
Lodewijk Dosfel,dichter,schrijver,mannelijk,1881-03-15T01:00:00Z,negentiendeeeuw,Belgi�,Dendermonde,Lodewijk Dosfel.png,7,https://nl.wikipedia.org/wiki/Lodewijk_Dosfel
Louis Pasteur,microbioloog,wetenschapper,mannelijk,1822-12-27T01:00:00Z,negentiendeeeuw,Frankrijk,Dole,Louis Pasteur.png,7,https://nl.wikipedia.org/wiki/Louis_Pasteur
Louis Paul Boon,schrijver,schrijver,mannelijk,1912-03-15T00:00:00Z,twintigsteeeuw,Belgi�,Aalst,Louis Paul Boon.png,12,https://nl.wikipedia.org/wiki/Louis_Paul_Boon
Mahatma Gandhi,politicus,politicus,mannelijk,1869-10-02T01:00:00Z,negentiendeeeuw,Brits-Indi�,Porbandar State,Mahatma Gandhi.png,3,https://nl.wikipedia.org/wiki/Mahatma_Gandhi
Margaretha van Parma,politicus,politicus,vrouwelijk,1522-12-18T01:00:00Z,zestiendeeeuw,Belgi�,Oudenaarde,Margaretha van Parma.png,3,https://nl.wikipedia.org/wiki/Margaretha_van_Parma
Marguerite Yourcenar,schrijver,schrijver,vrouwelijk,1903-06-08T00:09:21Z,twintigsteeeuw,Frankrijk,Brussel,Marguerite Yourcenar.png,3,https://nl.wikipedia.org/wiki/Marguerite_Yourcenar
Maria Goretti,heilige,religieus,vrouwelijk,1890-10-16T01:00:00Z,negentiendeeeuw,Koninkrijk Itali�,Corinaldo,Maria Goretti.png,3,https://nl.wikipedia.org/wiki/Maria_Goretti
Maria van Bourgondie,politicus,politicus,vrouwelijk,1457-02-04T01:00:00Z,vijftiendeeeuw,Frankrijk,Brussel,Maria van Bourgondie.png,6,https://nl.wikipedia.org/wiki/Maria_van_Bourgondi%C3%AB
Maria van Hongarije,monarch,monarchie,vrouwelijk,1371-04-06T01:00:00Z,veertiendeeeuw,Polen,,Maria van Hongarije.png,3,https://nl.wikipedia.org/wiki/Maria_van_Hongarije
Marie Curie,natuurkundige,wetenschapper,vrouwelijk,1867-11-07T01:00:00Z,negentiendeeeuw,Frankrijk,Warschau,Marie Curie.png,7,https://en.wikipedia.org/wiki/Marie_Curie
Marie Popelin,advocaat,jurist,vrouwelijk,1846-12-16T01:00:00Z,negentiendeeeuw,Belgi�,Schaarbeek,Marie Popelin.png,6,https://en.wikipedia.org/wiki/Marie_Popelin
Maurice Maeterlinck,schrijver,schrijver,mannelijk,1862-08-29T01:00:00Z,negentiendeeeuw,Belgi�,Gent,Maurice Maeterlinck.png,6,https://en.wikipedia.org/wiki/Maurice_Maeterlinck
Maurits Sabbe,schrijver,schrijver,mannelijk,1873-02-09T01:00:00Z,negentiendeeeuw,Belgi�,Brugge,Maurits Sabbe.png,10,https://en.wikipedia.org/wiki/Maurits_Sabbe
Joanna Courtmans,schrijver,schrijver,vrouwelijk,1811-09-06T01:00:00Z,negentiendeeeuw,Belgi�,Oudergem,Joanna Courtmans.png,3,https://en.wikipedia.org/wiki/Joanna_Courtmans
Nelson Mandela,politicus,politicus,mannelijk,1918-07-18T01:00:00Z,twintigsteeeuw,Zuid-Afrika,Mvezo,Nelson Mandela.png,7,https://en.wikipedia.org/wiki/Nelson_Mandela
Pater Damiaan,missionaris,religieus,mannelijk,1840-01-03T01:00:00Z,negentiendeeeuw,Belgi�,Tremelo,Pater Damiaan.png,33,https://en.wikipedia.org/wiki/Father_Damien
Dominique Pire,theoloog,wetenschapper,mannelijk,1910-02-10T00:09:21Z,twintigsteeeuw,Belgi�,Dinant,Dominique Pire.png,7,https://en.wikipedia.org/wiki/Dominique_Pire
Paul Gilson,componist,muziek,mannelijk,1865-06-15T01:00:00Z,negentiendeeeuw,Belgi�,Brussel,Paul Gilson.png,5,https://en.wikipedia.org/wiki/Paul_Gilson
Paul Janson,politicus,politicus,mannelijk,1840-04-11T01:00:00Z,negentiendeeeuw,Belgi�,Herstal,Paul Janson.png,5,https://en.wikipedia.org/wiki/Paul_Janson
Paul van Ostaijen,dichter,schrijver,mannelijk,1896-02-22T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Paul van Ostaijen.png,8,https://en.wikipedia.org/wiki/Paul_van_Ostaijen
Peter Benoit,dirigent,muziek,mannelijk,1834-08-17T01:00:00Z,negentiendeeeuw,Belgi�,Harelbeke,Peter Benoit.png,57,https://en.wikipedia.org/wiki/Peter_Benoit
Peter Paul Rubens,kunstschilder,beeldend kunstenaar,mannelijk,1577-06-18T01:00:00Z,zestiendeeeuw,Spaanse Nederlanden,Siegen,Peter Paul Rubens.png,20,https://en.wikipedia.org/wiki/Peter_Paul_Rubens
Pieter Bruegel de Oude,kunstschilder,beeldend kunstenaar,mannelijk,1524-12-22T01:00:00Z,zestiendeeeuw,Habsburgse Nederlanden,Breda,Pieter Bruegel de Oude.png,16,https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder
Pieter de Coninck,wever,wever,mannelijk,1299-12-25T01:00:00Z,dertiendeeeuw,Frankrijk,Brugge,Pieter de Coninck.png,13,https://en.wikipedia.org/wiki/Pieter_de_Coninck
Adolf Daens,politicus,politicus,mannelijk,1839-12-18T01:00:00Z,negentiendeeeuw,Belgi�,Aalst,Adolf Daens.png,18,https://en.wikipedia.org/wiki/Adolf_Daens
Albert van Saksen-Coburg en Gotha,muzikant,muziek,mannelijk,1819-08-26T01:00:00Z,negentiendeeeuw,Verenigd Koninkrijk,Schloss Rosenau,Albert van Saksen-Coburg en Gotha.png,16,https://nl.wikipedia.org/wiki/Albert_van_Saksen-Coburg_en_Gotha
Baudouin of Belgium,monarch,monarchie,mannelijk,1930-09-07T01:00:00Z,twintigsteeeuw,Belgi�,Laken,Baudouin of Belgium.png,24,https://en.wikipedia.org/wiki/Baudouin_of_Belgium
Karel van Belgie,kunstschilder,beeldend kunstenaar,mannelijk,1903-10-10T00:09:21Z,twintigsteeeuw,Belgi�,Brussel,Karel van Belgie.png,10,https://nl.wikipedia.org/wiki/Karel_van_Belgi%C3%AB
Leopold van Belgie,monarch,monarchie,mannelijk,1859-06-12T01:00:00Z,negentiendeeeuw,Belgi�,Laken,Leopold van Belgie.png,9,https://nl.wikipedia.org/wiki/Leopold_van_Belgi%C3%AB
Clementine van Belgie,politicus,politicus,vrouwelijk,1872-07-30T01:00:00Z,negentiendeeeuw,Belgi�,Kasteel van Laken,Clementine van Belgie.png,3,https://nl.wikipedia.org/wiki/Clementine_van_Belgi%C3%AB
Elisabeth van Belgie,politicus,politicus,vrouwelijk,2001-10-25T02:00:00Z,twintigsteeeuw,Belgi�,Anderlecht,Elisabeth van Belgie.png,7,https://nl.wikipedia.org/wiki/Elisabeth_van_Belgi%C3%AB
Princess Josephine Charlotte of Belgium,politicus,politicus,vrouwelijk,1927-10-11T00:00:00Z,twintigsteeeuw,Belgi�,Brussel,Princess Josephine Charlotte of Belgium.png,7,https://en.wikipedia.org/wiki/Princess_Jos%C3%A9phine_Charlotte_of_Belgium
Marie Jose of Belgium,Koningin,monarchie,vrouwelijk,1906-08-04T00:09:21Z,twintigsteeeuw,Belgi�,Oostende,Marie Jose of Belgium.png,4,https://en.wikipedia.org/wiki/Marie_Jos%C3%A9_of_Belgium
Queen Paola of Belgium,Koningin-gemalin,monarchie,vrouwelijk,1937-09-11T01:00:00Z,twintigsteeeuw,Belgi�,Forte dei Marmi,Queen Paola of Belgium.png,10,https://en.wikipedia.org/wiki/Queen_Paola_of_Belgium
Quinten Massijs (I),kunstschilder,beeldend kunstenaar,mannelijk,1465-12-23T01:00:00Z,vijftiendeeeuw,Zuidelijke Nederlanden,Leuven,Quinten Massijs (I).png,13,https://en.wikipedia.org/wiki/Quentin_Matsys
